iter	Passed	Remaining
0	1	109
1	1	94
2	2	91
3	3	88
4	4	85
5	5	81
6	5	79
7	6	78
8	7	76
9	8	74
10	9	74
11	9	72
12	10	71
13	11	70
14	12	68
15	12	68
16	13	66
17	14	65
18	15	64
19	15	63
20	16	62
21	17	60
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	25	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	30	45
40	30	44
41	31	43
42	31	42
43	32	41
44	33	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	35
51	37	35
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	41	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	49	23
68	50	22
69	50	21
70	51	21
71	52	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	66	5
92	66	5
93	67	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
