iter	Passed	Remaining
0	150	150847
1	151	75720
2	152	50641
3	153	38118
4	153	30622
5	155	25682
6	155	22119
7	156	19453
8	157	17363
9	158	15676
10	159	14300
11	159	13152
12	160	12176
13	161	11340
14	161	10619
15	162	9990
16	163	9432
17	163	8936
18	164	8490
19	165	8088
20	165	7727
21	166	7398
22	167	7097
23	167	6820
24	169	6594
25	170	6375
26	171	6168
27	172	5974
28	172	5785
29	173	5608
30	174	5441
31	174	5287
32	175	5149
33	176	5012
34	177	4882
35	177	4761
36	178	4645
37	179	4538
38	180	4436
39	180	4338
40	181	4244
41	182	4157
42	183	4082
43	184	4003
44	185	3927
45	185	3852
46	186	3780
47	187	3711
48	188	3651
49	188	3588
50	189	3527
51	190	3469
52	191	3413
53	191	3358
54	192	3305
55	193	3255
56	193	3206
57	194	3159
58	195	3112
59	195	3069
60	197	3033
61	198	2999
62	198	2958
63	199	2920
64	200	2881
65	201	2845
66	201	2808
67	202	2779
68	203	2750
69	204	2717
70	205	2686
71	206	2657
72	206	2628
73	207	2601
74	208	2574
75	209	2548
76	210	2524
77	211	2497
78	212	2478
79	213	2454
80	214	2433
81	215	2412
82	216	2387
83	216	2364
84	217	2342
85	218	2322
86	219	2300
87	220	2280
88	220	2260
89	221	2242
90	222	2224
91	223	2208
92	224	2189
93	225	2170
94	225	2152
95	226	2137
96	227	2122
97	228	2107
98	229	2090
99	230	2073
100	231	2057
101	231	2041
102	232	2026
103	233	2010
104	234	1996
105	235	1982
106	235	1968
107	236	1953
108	237	1938
109	237	1924
110	238	1911
111	239	1898
112	240	1884
113	241	1874
114	242	1864
115	243	1853
116	243	1840
117	244	1829
118	245	1817
119	246	1806
120	247	1795
121	248	1785
122	248	1774
123	249	1762
124	250	1751
125	250	1740
126	251	1728
127	252	1718
128	252	1708
129	253	1699
130	254	1690
131	255	1681
132	256	1671
133	257	1661
134	257	1652
135	258	1643
136	259	1634
137	260	1625
138	260	1616
139	261	1606
140	262	1597
141	262	1586
142	263	1577
143	263	1568
144	264	1560
145	265	1551
146	266	1544
147	266	1536
148	267	1527
149	268	1520
150	269	1514
151	270	1508
152	271	1501
153	271	1494
154	272	1486
155	273	1479
156	274	1472
157	274	1465
158	275	1457
159	276	1450
160	276	1442
161	277	1434
162	278	1427
163	278	1420
164	279	1413
165	280	1407
166	280	1400
167	281	1393
168	282	1387
169	283	1382
170	284	1378
171	285	1373
172	286	1367
173	286	1361
174	287	1354
175	288	1348
176	288	1342
177	289	1336
178	290	1330
179	290	1324
180	291	1319
181	292	1314
182	293	1308
183	293	1302
184	294	1296
185	295	1291
186	295	1285
187	296	1280
188	297	1274
189	297	1269
190	298	1266
191	299	1261
192	300	1257
193	301	1252
194	302	1248
195	303	1243
196	303	1238
197	304	1233
198	305	1228
199	305	1223
200	306	1218
201	307	1213
202	307	1209
203	308	1204
204	309	1199
205	310	1195
206	310	1190
207	327	1248
208	328	1242
209	329	1239
210	330	1235
211	331	1231
212	332	1226
213	332	1221
214	333	1216
215	333	1212
216	334	1207
217	335	1202
218	335	1197
219	336	1193
220	337	1188
221	338	1184
222	338	1180
223	339	1175
224	339	1171
225	340	1166
226	341	1162
227	341	1157
228	342	1153
229	343	1148
230	343	1144
231	344	1141
232	345	1137
233	346	1133
234	346	1129
235	347	1125
236	348	1121
237	348	1117
238	349	1112
239	350	1108
240	350	1104
241	351	1100
242	352	1096
243	352	1092
244	353	1088
245	353	1084
246	354	1080
247	355	1077
248	356	1074
249	356	1070
250	357	1067
251	358	1063
252	359	1061
253	360	1058
254	360	1054
255	361	1050
256	362	1046
257	362	1043
258	363	1039
259	364	1036
260	365	1033
261	365	1030
262	366	1026
263	366	1023
264	367	1019
265	368	1016
266	369	1013
267	369	1009
268	370	1006
269	371	1003
270	371	1000
271	372	997
272	373	995
273	374	993
274	375	990
275	376	987
276	377	984
277	377	981
278	378	978
279	379	975
280	380	973
281	381	970
282	381	967
283	382	965
284	383	963
285	384	960
286	385	957
287	386	954
288	386	951
289	387	949
290	388	947
291	389	945
292	390	942
293	391	940
294	392	937
295	393	934
296	393	932
297	394	929
298	395	926
299	396	924
300	396	921
301	397	918
302	398	915
303	399	913
304	399	911
305	400	908
306	401	906
307	402	903
308	402	900
309	403	898
310	404	896
311	405	893
312	405	891
313	406	888
314	407	886
315	408	884
316	409	882
317	410	879
318	410	877
319	411	874
320	412	872
321	413	870
322	414	867
323	414	865
324	415	862
325	416	860
326	416	857
327	417	855
328	418	854
329	419	852
330	420	850
331	421	847
332	422	845
333	422	843
334	423	840
335	424	838
336	425	836
337	425	834
338	426	832
339	427	830
340	428	828
341	429	826
342	429	823
343	430	821
344	431	818
345	431	816
346	433	814
347	433	812
348	434	810
349	435	808
350	436	806
351	436	804
352	437	802
353	438	799
354	439	797
355	440	795
356	440	794
357	441	791
358	442	789
359	443	787
360	443	785
361	444	783
362	445	781
363	445	779
364	446	777
365	447	775
366	448	773
367	449	771
368	450	770
369	451	768
370	451	766
371	452	764
372	454	763
373	454	761
374	455	759
375	456	756
376	456	754
377	457	752
378	458	750
379	458	748
380	459	746
381	460	744
382	460	742
383	461	740
384	462	738
385	463	737
386	464	735
387	464	733
388	465	731
389	466	729
390	467	728
391	468	726
392	468	724
393	469	722
394	470	720
395	471	718
396	471	716
397	472	714
398	473	712
399	473	710
400	474	709
401	475	707
